batch_id,product_id,product_name,category,arrival_date,arrival_timestamp,quantity_received,quantity_available,unit_cost,total_cost,expiration_date,expiration_time,shelf_life_days,days_until_expiry,status,storage_temp_required,supplier_id
BATCH_00001,P001,Fresh Salmon Fillet,Seafood,2023-01-01,2023-01-01 06:00:00,78,78,18.5,1443.0,2023-01-04,2023-01-04 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00002,P002,Ribeye Steak,Meat,2023-01-01,2023-01-01 06:00:00,115,115,22.0,2530.0,2023-01-06,2023-01-06 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00003,P003,Caesar Salad Mix,Vegetables,2023-01-01,2023-01-01 06:00:00,161,161,4.5,724.5,2023-01-05,2023-01-05 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00004,P004,Tiramisu Dessert,Desserts,2023-01-01,2023-01-01 06:00:00,119,119,5.0,595.0,2023-01-04,2023-01-04 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00005,P005,Grilled Chicken Breast,Meat,2023-01-01,2023-01-01 06:00:00,144,144,8.0,1152.0,2023-01-05,2023-01-05 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00006,P006,Lobster Tail,Seafood,2023-01-01,2023-01-01 06:00:00,34,34,35.0,1190.0,2023-01-03,2023-01-03 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00007,P007,Pasta Carbonara,Pasta,2023-01-01,2023-01-01 06:00:00,152,152,6.0,912.0,2023-01-08,2023-01-08 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00008,P008,French Onion Soup,Soups,2023-01-01,2023-01-01 06:00:00,149,149,3.5,521.5,2023-01-06,2023-01-06 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00009,P009,Chocolate Lava Cake,Desserts,2023-01-01,2023-01-01 06:00:00,102,102,4.0,408.0,2023-01-05,2023-01-05 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00010,P010,Craft Beer (Draft),Beverages,2023-01-01,2023-01-01 06:00:00,283,283,3.0,849.0,2023-01-15,2023-01-15 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00011,P011,House Wine (Glass),Beverages,2023-01-01,2023-01-01 06:00:00,163,163,4.0,652.0,2023-01-31,2023-01-31 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00012,P012,Ice Cream Sundae,Desserts,2023-01-01,2023-01-01 06:00:00,96,96,3.0,288.0,2023-03-02,2023-03-02 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00013,P001,Fresh Salmon Fillet,Seafood,2023-01-04,2023-01-04 06:00:00,92,92,18.5,1702.0,2023-01-07,2023-01-07 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00014,P002,Ribeye Steak,Meat,2023-01-04,2023-01-04 06:00:00,88,88,22.0,1936.0,2023-01-09,2023-01-09 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00015,P003,Caesar Salad Mix,Vegetables,2023-01-04,2023-01-04 06:00:00,131,131,4.5,589.5,2023-01-08,2023-01-08 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00016,P004,Tiramisu Dessert,Desserts,2023-01-04,2023-01-04 06:00:00,102,102,5.0,510.0,2023-01-07,2023-01-07 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00017,P005,Grilled Chicken Breast,Meat,2023-01-04,2023-01-04 06:00:00,153,153,8.0,1224.0,2023-01-08,2023-01-08 23:59:00,4,4,Normal,Refrigerated,SUP_003
BATCH_00018,P006,Lobster Tail,Seafood,2023-01-04,2023-01-04 06:00:00,39,39,35.0,1365.0,2023-01-06,2023-01-06 23:59:00,2,2,Warning,Refrigerated,SUP_005
BATCH_00019,P007,Pasta Carbonara,Pasta,2023-01-04,2023-01-04 06:00:00,177,177,6.0,1062.0,2023-01-11,2023-01-11 23:59:00,7,7,Normal,Room Temperature,SUP_005
BATCH_00020,P008,French Onion Soup,Soups,2023-01-04,2023-01-04 06:00:00,121,121,3.5,423.5,2023-01-09,2023-01-09 23:59:00,5,5,Normal,Room Temperature,SUP_004
BATCH_00021,P009,Chocolate Lava Cake,Desserts,2023-01-04,2023-01-04 06:00:00,103,103,4.0,412.0,2023-01-08,2023-01-08 23:59:00,4,4,Normal,Refrigerated,SUP_001
BATCH_00022,P010,Craft Beer (Draft),Beverages,2023-01-04,2023-01-04 06:00:00,229,229,3.0,687.0,2023-01-18,2023-01-18 23:59:00,14,14,Normal,Room Temperature,SUP_004
BATCH_00023,P011,House Wine (Glass),Beverages,2023-01-04,2023-01-04 06:00:00,183,183,4.0,732.0,2023-02-03,2023-02-03 23:59:00,30,30,Normal,Room Temperature,SUP_003
BATCH_00024,P012,Ice Cream Sundae,Desserts,2023-01-04,2023-01-04 06:00:00,78,78,3.0,234.0,2023-03-05,2023-03-05 23:59:00,60,60,Normal,Refrigerated,SUP_005
BATCH_00025,P001,Fresh Salmon Fillet,Seafood,2023-01-07,2023-01-07 06:00:00,81,81,18.5,1498.5,2023-01-10,2023-01-10 23:59:00,3,3,Normal,Refrigerated,SUP_003
BATCH_00026,P002,Ribeye Steak,Meat,2023-01-07,2023-01-07 06:00:00,109,109,22.0,2398.0,2023-01-12,2023-01-12 23:59:00,5,5,Normal,Refrigerated,SUP_001
BATCH_00027,P003,Caesar Salad Mix,Vegetables,2023-01-07,2023-01-07 06:00:00,132,132,4.5,594.0,2023-01-11,2023-01-11 23:59:00,4,4,Normal,Refrigerated,SUP_005
BATCH_00028,P004,Tiramisu Dessert,Desserts,2023-01-07,2023-01-07 06:00:00,116,116,5.0,580.0,2023-01-10,2023-01-10 23:59:00,3,3,Normal,Refrigerated,SUP_003
